N,Q,A,TRI,OD
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.43,390.00,5554.70,600.00,0.80
30.41,390.00,5590.84,421.00,0.80
30.29,390.00,5665.33,421.00,0.80
30.17,390.00,5685.40,421.00,0.80
30.08,390.00,5695.63,421.00,0.80
30.03,390.00,5702.07,421.00,0.80
30.00,390.00,5705.65,421.00,0.80
29.97,390.00,5707.61,421.00,0.80
29.95,390.00,5709.09,421.00,0.80
29.93,390.00,5709.43,421.00,0.80
29.92,390.00,5709.86,421.00,0.80
29.91,390.00,5710.33,421.00,0.80
29.90,390.00,5710.51,421.00,0.80
29.89,390.00,5710.63,421.00,0.80
29.88,390.00,5710.66,421.00,0.80
29.88,390.00,5710.88,421.00,0.80
29.87,390.00,5710.88,421.00,0.80
29.87,390.00,5710.90,421.00,0.80
29.86,390.00,5710.84,421.00,0.80
29.86,390.00,5710.94,421.00,0.80
29.86,390.00,5711.14,421.00,0.80
29.86,390.00,5711.01,421.00,0.80
29.85,390.00,5711.05,421.00,0.80
29.85,390.00,5711.09,421.00,0.80
29.85,390.00,5711.10,421.00,0.80
29.85,390.00,5711.08,421.00,0.80
